"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2022-01-18 16:40:00 -0700",0,0,0,5,-49.5,63.5,26,0,2.075,1.34,0,0,0,0,0,0,0,0,0,16700,0.04,823.58,NA,0,1.255,0.915,0,0,0,0,0,0,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 16:50:00 -0700",0,0,0,10,-52.333,64.333,24.667,0,2.677,2.457,0,0,0,0,0,0,0,0,0,17293.333,0.04,824.47,NA,0,0.88,0.88,0,0,0,0,0,0,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 17:00:00 -0700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 17:10:00 -0700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 17:20:00 -0700",0,0.08,0.445,4,-67.25,49,22.5,0.08,171.69,153.415,0.57,0,0,0,0,0.445,0,0.018,0.08,18758,0.03,825.52,NA,0.018,158.455,133.588,0,0,0,0,0,0.08,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 17:30:00 -0700",0,0.08,0.368,13,-66.6,49,23,0.08,183.14,159.314,0.428,0,0,0,0,0.368,0,0,0.312,18665.6,0.04,825.834,NA,0,174.012,149.496,0.16,0,0,0,0,0.312,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 17:40:00 -0700",0,0.048,0.29,23,-66.4,49.2,23,0.048,163.252,136.91,0.328,0,0,0,0,0.29,0,0.022,0.082,18732.8,0.04,826.086,NA,0.022,163.252,139.738,0,0,0,0,0,0.082,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 17:50:00 -0700",0,0.012,0.354,33,-67.4,49.2,23,0.012,182.96,160.872,0.252,0,0,0,0,0.354,0,0,0.144,18606.4,0.04,826.41,NA,0,180.992,152.504,0,0,0,0,0,0.144,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 18:00:00 -0700",0,0.816,1.378,43,-69.2,48.6,24.2,0.816,229.558,213.724,0.878,0,0,0,0,1.378,0,0.316,1.354,18500.8,0.04,826.752,NA,0.316,242.304,223.264,0.068,0,0,0,0,1.354,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 18:10:00 -0700",0.018,1.788,2.384,53,-69.6,47.8,26,1.788,261.354,241.068,1.682,0,0,0,0.018,2.384,0.068,1.108,1.9,18444.8,0.04,826.868,NA,1.108,270.688,247.592,0.762,0,0,0,0.068,1.9,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 18:20:00 -0700",0.302,3.198,3.91,63,-68.8,47,27,3.198,307.212,283.85,8.83,0,0,0,0.302,3.91,0.706,2.538,3.154,18332.8,0.04,827.064,NA,2.538,313.574,289.866,0.818,0,0,0,0.706,3.154,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 18:30:00 -0700",1.338,3.936,4.744,73,-68.2,46.8,27.8,3.936,342.53,312.55,12.35,0,0,0,1.338,4.744,0.82,2.974,3.624,18467.2,0.04,827.138,NA,2.974,342.948,316.172,1.812,0,0,0,0.82,3.624,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
"2022-01-18 18:40:00 -0700",2.252,5.002,5.84,83,-68,46.6,28,5.002,388.766,358.432,28.25,0,0,0,2.252,5.84,1.79,3.878,4.326,18400,0.04,827.202,NA,3.878,374.064,349.5,6.814,0,0,0,1.79,4.326,131279,"NNRD - Outside",39.98117,-105.15552,"outside","PMS5003+PMS5003+BME280"
