"created_at","PM1.0_CF_1_ug/m3_A","PM2.5_CF_1_ug/m3_A","PM10.0_CF_1_ug/m3_A","Uptime_Minutes_A","RSSI_dbm_A","Temperature_F_A","Humidity_%_A","PM2.5_CF_ATM_ug/m3_A","0.3um/dl_A","0.5um/dl_A","1.0um/dl_A","2.5um/dl_A","5.0um/dl_A","10.0um/dl_A","PM1.0_CF_ATM_ug/m3_A","PM10_CF_ATM_ug/m3_A","PM1.0_CF_1_ug/m3_B","PM2.5_CF_1_ug/m3_B","PM10.0_CF_1_ug/m3_B","HEAP_B","ADC0_voltage_B","Atmos_Pres_B","Not_Used_B","PM2.5_CF_ATM_ug/m3_B","0.3um/dl_B","0.5um/dl_B","1.0um/dl_B","2.5um/dl_B","5.0um/dl_B","10.0um/dl_B","PM1.0_CF_ATM_ug/m3_B","PM10_CF_ATM_ug/m3_B","ID","Name","Lat","Lon","Location","Type"
"2022-01-14 20:10:00 -0700",0,0,0,10,-76,34,42,0,40.51,29.09,0,0,0,0,0,0,0,0,0,16288,0.05,841.25,NA,0,23.94,13.19,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 20:20:00 -0700",0,0,0,16,-73.2,33.8,42.2,0,40.648,26.828,0,0,0,0,0,0,0,0,0,17256,0.05,841.234,NA,0,20.438,13.01,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 20:30:00 -0700",0,0,0,26,-74.8,34,42.2,0,46.412,34.37,0,0,0,0,0,0,0,0,0,17756.8,0.05,841.414,NA,0,30.788,15.188,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 20:40:00 -0700",0,0,0,36,-76.2,34,43,0,60.802,47.992,0,0,0,0,0,0,0,0,0,17656,0.05,841.718,NA,0,48.338,33.126,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 20:50:00 -0700",0,0,0,46,-73.8,33.6,42.8,0,45.43,36.692,0,0,0,0,0,0,0,0,0,17457.6,0.05,841.832,NA,0,27.668,18.742,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 21:00:00 -0700",0,0,0,56,-76.4,32.8,43.8,0,43.152,31.966,0,0,0,0,0,0,0,0,0,17401.6,0.05,841.942,NA,0,27.01,17.858,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 21:10:00 -0700",0,0,0,66,-77,33.8,43.8,0,49.972,37.298,0,0,0,0,0,0,0,0,0,17457.6,0.05,842.034,NA,0,38.152,25.542,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 21:20:00 -0700",0,0,0,76,-75,34,43,0,48.906,37.462,0,0,0,0,0,0,0,0,0,17491.2,0.05,842.118,NA,0,34.91,22.386,0.052,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 21:30:00 -0700",0,0,0,86,-75.4,33.4,43.2,0,46.92,35.058,0,0,0,0,0,0,0,0,0,17457.6,0.05,842.074,NA,0,28.698,20.148,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 21:40:00 -0700",0,0,0,96,-72,32.6,44.6,0,45.638,36.106,0,0,0,0,0,0,0,0,0,17424,0.05,841.972,NA,0,21.64,10.284,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 21:50:00 -0700",0,0,0,106,-72.6,33.6,44.4,0,50.418,40.742,0,0,0,0,0,0,0,0,0,17457.6,0.05,841.942,NA,0,34.336,25.738,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 22:00:00 -0700",0,0,0,116,-74.2,33.2,44,0,48.56,37.014,0,0,0,0,0,0,0,0,0,17424,0.05,841.952,NA,0,36.668,23.504,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 22:10:00 -0700",0,0,0,126,-76.2,32.8,44.8,0,44.608,34.492,0,0,0,0,0,0,0,0,0,17457.6,0.05,841.942,NA,0,33.458,22.246,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 22:20:00 -0700",0,0,0,136,-75.8,32.2,45,0,46.212,32.972,0,0,0,0,0,0,0,0,0,17424,0.05,841.958,NA,0,32.794,23.33,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 22:30:00 -0700",0,0,0,146,-72.4,33,44.8,0,39.998,31.364,0,0,0,0,0,0,0,0,0,17457.6,0.05,842.006,NA,0,31.576,20.038,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
"2022-01-14 22:40:00 -0700",0,0,0,156,-75.2,33.6,44.4,0,46.726,34.69,0,0,0,0,0,0,0,0,0,17424,0.05,842.074,NA,0,30.368,19.052,0,0,0,0,0,0,137686,"Coal Creek Crossing",39.952332,-105.175124,"outside","PMS5003+PMS5003+BME280"
